Name,Hash,Id,Tag,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Notorious Reaper Hood,2030998603,"""6917529091309927389""",,Legendary,Helmet,Warlock,700,Solar Damage Resistance,1,1,1,1,,Reaper +3,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Hands-On,Scatter Projectile Targeting,Machine Gun Targeting,Sword Reserves,Machine Gun Reserves,
Hood of the Great Hunt,3251351304,"""6917529091583361099""",,Legendary,Helmet,Warlock,700,Arc Damage Resistance,1,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Ashes to Assets,Remote Connection,Power Weapon Targeting,Fusion Rifle Reserves,Shotgun Reserves,,
Ancient Apocalypse Hood,1236746902,"""6917529091165409411""",,Legendary,Helmet,Warlock,700,Void Damage Resistance,4,0,1,2,,Heavy Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 4 Armor,Gambit Leather,Fusion Rifle Targeting,Ashes to Assets,Grenade Launcher Reserves,Sniper Rifle Reserves,,
Annealed Shaper Crown,2389815461,"""6917529091468511247""",,Legendary,Helmet,Warlock,700,Solar Damage Resistance,2,0,2,1,,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,New Age Black Armory,Submachine Gun Targeting,Hands-On,Sniper Rifle Reserves,Special Ammo Finder,,
Ancient Apocalypse Gloves,2440840551,"""6917529093272105455""",,Legendary,Gauntlets,Warlock,700,Void Damage Resistance,4,2,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 4 Armor,Gambit Leather,Linear Fusion Rifle Loader,Momentum Transfer,Linear Fusion Rifle Scavenger,Machine Gun Scavenger,,
Gunsmith's Devotion Gloves,2762445138,"""6917529091248570312""",,Legendary,Gauntlets,Warlock,700,Arc Damage Resistance,1,0,1,2,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Rocket Launcher Loader,Momentum Transfer,Power Weapon Loader,Sword Scavenger,Machine Gun Scavenger,
Inaugural Revelry Wraps,2710427191,"""6917529092185713378""",,Legendary,Gauntlets,Warlock,700,Solar Damage Resistance,1,0,1,2,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Sniper Rifle Loader,Momentum Transfer,Grenade Launcher Scavenger,Rocket Launcher Scavenger,,,
Ancient Apocalypse Gloves,2440840551,"""6917529091583354668""",keep,Legendary,Gauntlets,Warlock,700,Arc Damage Resistance,1,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Gambit Leather,Grenade Launcher Loader,Sniper Rifle Loader,Linear Fusion Rifle Scavenger,Shotgun Scavenger,,
Inaugural Revelry Wraps,2710427191,"""6917529092331637656""",,Legendary,Gauntlets,Warlock,700,Solar Damage Resistance,3,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Fastball,Impact Induction,Fusion Rifle Scavenger,Machine Gun Scavenger,,,
Tangled Web Gloves,2502004600,"""6917529090812565109""",,Legendary,Gauntlets,Warlock,700,Void Damage Resistance,2,0,2,1,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Fallen Armaments,Tier 2 Armor,Grenade Launcher Loader,Impact Induction,Linear Fusion Rifle Scavenger,Machine Gun Scavenger,,
Prodigal Robes,1553407343,"""6917529093546638127""",,Legendary,Chest Armor,Warlock,681,Void Damage Resistance,1,1,1,2,,Heavy Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Unflinching Scout Rifle Aim,Unflinching Kinetic Aim,Auto Rifle Reserves,Primary Ammo Finder,,,
Ancient Apocalypse Robes,4188366993,"""6917529091366853249""",favorite,Legendary,Chest Armor,Warlock,700,Solar Damage Resistance,2,2,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Fallen Barrier,Tier 2 Armor,Gambit Leather,Unflinching Large Arms,Unflinching Machine Gun,Sidearm Reserves,Special Ammo Finder,
Ancient Apocalypse Robes,4188366993,"""6917529090849982761""",,Legendary,Chest Armor,Warlock,700,Void Damage Resistance,2,0,2,2,,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Super Mod,Tier 2 Armor,Gambit Leather,Unflinching Fusion Rifle Aim,Unflinching Energy Aim,Submachine Gun Reserves,Special Ammo Finder,
Wing Theorem,997903134,"""6917529090909798921""",,Legendary,Chest Armor,Warlock,700,Arc Damage Resistance,1,2,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Metallic,Unflinching Auto Rifle Aim,Unflinching Kinetic Aim,Auto Rifle Reserves,Hand Cannon Reserves,,
Inaugural Revelry Robes,678051457,"""6917529092194929680""",,Legendary,Chest Armor,Warlock,700,Arc Damage Resistance,3,1,2,1,,Restorative Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Tier 3 Armor,Unflinching Auto Rifle Aim,Unflinching Sidearm Aim,Pulse Rifle Reserves,Sidearm Reserves,,,
Prodigal Robes,1553407343,"""6917529091877185828""",keep,Legendary,Chest Armor,Warlock,700,Arc Damage Resistance,1,3,2,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Restorative Mod,Recovery Mod,Tier 1 Armor,Unflinching Scout Rifle Aim,Unflinching Light Arms Aim,Bow Reserves,Hand Cannon Reserves,,
Boots of the Cormorant Blade,680379815,"""6917529093544749473""",,Legendary,Leg Armor,Warlock,10,Void Damage Resistance,1,2,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Submachine Gun Dexterity,Sniper Rifle Dexterity,Auto Rifle Scavenger,Hand Cannon Scavenger,,,
Inaugural Revelry Boots,4094504409,"""6917529092179585781""",favorite,Legendary,Leg Armor,Warlock,700,Solar Damage Resistance,2,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Bow Dexterity,Rifle Dexterity,Pulse Rifle Scavenger,Scout Rifle Scavenger,,,
Ancient Apocalypse Boots,1193646249,"""6917529091999728058""",,Legendary,Leg Armor,Warlock,700,Void Damage Resistance,1,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Gambit Leather,Bow Dexterity,Perpetuation,Pulse Rifle Scavenger,Special Ammo Finder,,
Notorious Sentry Boots,2005998380,"""6917529091423438331""",keep,Legendary,Leg Armor,Warlock,700,Void Damage Resistance,1,1,1,1,,Sentry +3,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Scout Rifle Dexterity,Bomber,Power Dexterity,Auto Rifle Scavenger,Submachine Gun Scavenger,
Notorious Collector Boots,77525088,"""6917529091304068243""",keep,Legendary,Leg Armor,Warlock,700,Void Damage Resistance,2,1,2,0,,Collector +3,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Auto Rifle Dexterity,Sniper Rifle Dexterity,Bomber,Hand Cannon Scavenger,Scout Rifle Scavenger,
Notorious Reaper Boots,2429433848,"""6917529091109440371""",favorite,Legendary,Leg Armor,Warlock,700,Arc Damage Resistance,1,0,1,2,,Reaper +3,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Ordnance Mod,Tier 1 Armor,Submachine Gun Dexterity,Traction,Bomber,Arrow Scavenger,Hand Cannon Scavenger
Ancient Apocalypse Bond,2088829612,"""6917529092690465597""",,Legendary,Warlock Bond,Warlock,700,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Gambit Leather,Recuperation,Better Already,Sidearm Reserves,Sword Reserves,,,,,
Wing Theorem,327530279,"""6917529092241301798""",,Legendary,Warlock Bond,Warlock,700,Void Damage Resistance,2,0,0,0,,Tier 2 Armor,Crucible Legacy,Innervation,Recuperation,Grenade Launcher Reserves,Sword Scavenger,,,,,
Memory of Cayde,1014677029,"""6917529078648806176""",,Legendary,Warlock Bond,Warlock,700,Arc Damage Resistance,2,0,0,0,,Ordnance Mod,Tier 2 Armor,Innervation,Heavy Ammo Finder,,,,,,,
Reverie Dawn Bond,3602032567,"""6917529093209311954""",,Legendary,Warlock Bond,Warlock,700,Solar Damage Resistance,1,0,0,0,,Riven's Curse,Tier 1 Armor,Burnished Dreams,Insulation,Innervation,Invigoration,Fusion Rifle Reserves,Auto Rifle Scavenger,,,
Illicit Invader Bond,1576110551,"""6917529091997090237""",,Legendary,Warlock Bond,Warlock,700,Solar Damage Resistance,1,0,0,0,,Invader +1,Tier 1 Armor,Insulation,Recuperation,Rocket Launcher Scavenger,Sword Scavenger,,,,,
Gunsmith's Devotion Bond,3567761471,"""6917529092534718324""",keep,Legendary,Warlock Bond,Warlock,700,Arc Damage Resistance,2,0,0,0,,Tier 2 Armor,Midnight Smith,Innervation,Invigoration,Better Already,Arrow Scavenger,Sniper Rifle Scavenger,,,,
Ancient Apocalypse Bond,2088829612,"""6917529091868929367""",,Legendary,Warlock Bond,Warlock,700,Arc Damage Resistance,1,0,0,0,,Tier 1 Armor,Gambit Leather,Insulation,Better Already,Pulse Rifle Reserves,Rocket Launcher Scavenger,,,,,
Ancient Apocalypse Bond,2088829612,"""6917529091242222761""",,Legendary,Warlock Bond,Warlock,700,Arc Damage Resistance,4,0,0,0,,Tier 4 Armor,Gambit Leather,Innervation,Better Already,Rocket Launcher Scavenger,Submachine Gun Scavenger,,,,,
Notorious Reaper Gloves,3734494146,"""6917529091112267469""",keep,Legendary,Gauntlets,Warlock,700,Void Damage Resistance,1,1,1,1,,Reaper +3,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 1 Armor,Scout Rifle Loader,Fastball,Impact Induction,Sword Scavenger,Special Ammo Finder
Notorious Reaper Robes,2966502282,"""6917529091313068851""",keep,Legendary,Chest Armor,Warlock,700,Void Damage Resistance,1,2,1,1,,Reaper +3,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Super Mod,Tier 1 Armor,Enhanced Unflinching Sniper Aim,Enhanced Unflinching Scout Rifle Aim,Unflinching Machine Gun,Pulse Rifle Reserves,Submachine Gun Reserves
Notorious Reaper Boots,2429433848,"""6917529091313064630""",,Legendary,Leg Armor,Warlock,700,Void Damage Resistance,1,0,2,1,,Reaper +3,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 1 Armor,Bow Dexterity,Power Dexterity,Machine Gun Dexterity,Arrow Scavenger,Sidearm Scavenger
Memory of Cayde,1014677029,"""6917529091767915398""",,Legendary,Warlock Bond,Warlock,700,Arc Damage Resistance,1,0,0,0,,Fallen Absorbtion,Tier 1 Armor,Innervation,Heavy Ammo Finder,,,,,,,
Reverie Dawn Greaves,3174233615,"""6917529084799279290""",favorite,Legendary,Leg Armor,Titan,618,Void Damage Resistance,1,2,0,1,,Mobile Titan Armor,Mobility Enhancement Mod,Restorative Mod,Riven's Curse,Tier 1 Armor,Burnished Dreams,Pulse Rifle Dexterity,Perpetuation,Light Arms Dexterity,Hand Cannon Scavenger,Sidearm Scavenger
Vest of the Great Hunt,146275556,"""6917529089410929025""",,Legendary,Chest Armor,Hunter,650,Void Damage Resistance,1,1,1,2,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Unflinching Bow Aim,Unflinching Pulse Rifle Aim,Enhanced Unflinching Sniper Aim,Pulse Rifle Reserves,Scout Rifle Reserves,,
Red Moon Phantom Steps,1432831619,"""6917529090870940322""",,Legendary,Leg Armor,Hunter,680,Solar Damage Resistance,1,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Linear Fusion Dexterity,Oversize Weapon Dexterity,Auto Rifle Scavenger,Pulse Rifle Scavenger,,,
Woven Firesmith Cape,4106007668,"""6917529087460785535""",,Legendary,Hunter Cloak,Hunter,627,Solar Damage Resistance,3,0,0,0,,Tier 3 Armor,New Age Black Armory,Insulation,Better Already,Scout Rifle Scavenger,Sniper Rifle Scavenger,,,,,
Frostveil Mask,2891490654,"""6917529084904566850""",,Legendary,Helmet,Hunter,10,Void Damage Resistance,2,1,0,2,,Tier 2 Armor,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Fusion Rifle Targeting,Pump Action,Fusion Rifle Reserves,Machine Gun Reserves,,,
Vanguard Dare Boots,3576712697,"""6917529086725288352""",keep,Legendary,Leg Armor,Hunter,10,Solar Damage Resistance,1,1,1,1,,Tier 1 Armor,Survivalist Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Bow Dexterity,Traction,Auto Rifle Scavenger,Sidearm Scavenger,,,
Star-Crossed Mark,2757194094,"""6917529087114836887""",,Legendary,Titan Mark,Titan,10,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Insulation,Recuperation,Hand Cannon Scavenger,Sidearm Scavenger,,,,,,
Skerren Corvus Cloak,3352962401,"""6917529080569378522""",,Legendary,Hunter Cloak,Hunter,10,Void Damage Resistance,1,0,0,0,,Tier 1 Armor,Insulation,Better Already,Bow Reserves,Hand Cannon Reserves,,,,,,
Gunsmith's Devotion Boots,3163683564,"""6917529090263239499""",,Legendary,Leg Armor,Warlock,676,Arc Damage Resistance,2,1,1,1,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Bow Dexterity,Perpetuation,Machine Gun Dexterity,Auto Rifle Scavenger,Submachine Gun Scavenger,
Annealed Shaper Boots,3416654206,"""6917529087379219637""",,Legendary,Leg Armor,Warlock,650,Void Damage Resistance,2,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,New Age Black Armory,Fusion Rifle Dexterity,Perpetuation,Hand Cannon Scavenger,Pulse Rifle Scavenger,,
Star-Crossed Fists,1961095289,"""6917529084334604448""",keep,Legendary,Gauntlets,Titan,10,Solar Damage Resistance,1,0,1,2,,Tier 1 Armor,Restorative Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Auto Rifle Loader,Momentum Transfer,Rocket Launcher Scavenger,Shotgun Scavenger,,,
Dragonfly Regalia Gauntlets,2614454204,"""6917529083164271824""",keep,Legendary,Gauntlets,Titan,10,Void Damage Resistance,3,0,1,2,,Tier 3 Armor,Restorative Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Momentum Transfer,Light Arms Loader,Grenade Launcher Scavenger,Linear Fusion Rifle Scavenger,,,
Dragonfly Regalia Grasps,3523029112,"""6917529068963827614""",,Legendary,Gauntlets,Hunter,10,Solar Damage Resistance,1,2,0,1,,Tier 1 Armor,Mobile Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Pulse Rifle Loader,Power Weapon Loader,Fusion Rifle Scavenger,Heavy Ammo Finder,,,
Prodigal Mask,4104298449,"""6917529090199499385""",,Legendary,Helmet,Hunter,691,Solar Damage Resistance,1,1,1,1,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Heavy Lifting,Energy Weapon Targeting,Fusion Rifle Reserves,Machine Gun Reserves,,,
Reverie Dawn Gloves,2761343386,"""6917529085187859772""",keep,Legendary,Gauntlets,Warlock,650,Void Damage Resistance,1,1,1,1,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Riven's Curse,Tier 1 Armor,Burnished Dreams,Fusion Rifle Loader,Pulse Rifle Loader,Impact Induction,Shotgun Scavenger,Heavy Ammo Finder
Gunsmith's Devotion Crown,1624906371,"""6917529091263705455""",,Legendary,Helmet,Warlock,670,Solar Damage Resistance,2,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Midnight Smith,Auto Rifle Targeting,Shotgun Targeting,Enhanced Bow Targeting,Rocket Launcher Reserves,Sword Reserves,
Annealed Shaper Robes,2153602188,"""6917529087384855678""",,Legendary,Chest Armor,Warlock,630,Arc Damage Resistance,1,0,2,2,,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,New Age Black Armory,Unflinching Kinetic Aim,Unflinching Power Aim,Auto Rifle Reserves,Sidearm Reserves,,
Wing Theorem,997903134,"""6917529087192092080""",,Legendary,Chest Armor,Warlock,650,Arc Damage Resistance,3,2,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Crucible Legacy,Unflinching Energy Aim,Unflinching Machine Gun,Bow Reserves,Scout Rifle Reserves,,
Wing Discipline,2124666626,"""6917529090309448482""",,Legendary,Helmet,Titan,661,Void Damage Resistance,2,0,1,2,,Restorative Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Crucible Legacy,Heavy Lifting,Pump Action,Fusion Rifle Reserves,Special Ammo Finder,,
Annealed Shaper Gloves,3128915572,"""6917529087329737473""",keep,Legendary,Gauntlets,Warlock,650,Void Damage Resistance,3,1,2,0,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,New Age Black Armory,Sniper Rifle Loader,Light Arms Loader,Rocket Launcher Scavenger,Sword Scavenger,,
Grips of the Great Hunt,196235132,"""6917529088836709366""",,Legendary,Gauntlets,Hunter,629,Solar Damage Resistance,4,2,1,0,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 4 Armor,Auto Rifle Loader,Hand Cannon Loader,Large Weapon Loader,Linear Fusion Rifle Scavenger,Heavy Ammo Finder,,
Boots of the Cormorant Blade,680379815,"""6917529091162680960""",,Legendary,Leg Armor,Warlock,10,Void Damage Resistance,3,2,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Fusion Rifle Dexterity,Sidearm Dexterity,Hand Cannon Scavenger,Pulse Rifle Scavenger,,,
Tangled Web Mask,4261835528,"""6917529091309930509""",favorite,Legendary,Helmet,Hunter,681,Void Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Light Reactor,Ashes to Assets,Fusion Rifle Reserves,Shotgun Reserves,,,
Outlawed Collector Boots,77525091,"""6917529090806823530""",,Legendary,Leg Armor,Warlock,659,Solar Damage Resistance,1,1,2,0,,Collector +2,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Sidearm Dexterity,Perpetuation,Arrow Scavenger,Hand Cannon Scavenger,,
Ancient Apocalypse Strides,1169857924,"""6917529092022744898""",keep,Legendary,Leg Armor,Hunter,700,Solar Damage Resistance,3,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Gambit Leather,Hand Cannon Dexterity,Traction,Auto Rifle Scavenger,Scout Rifle Scavenger,,
Wing Theorem,327530279,"""6917529084112512651""",keep,Legendary,Warlock Bond,Warlock,615,Arc Damage Resistance,3,0,0,0,,Tier 3 Armor,Crucible Legacy,Insulation,Invigoration,Fusion Rifle Scavenger,Rocket Launcher Scavenger,,,,,
Bladesmith's Memory Mask,350056552,"""6917529086329241900""",favorite,Legendary,Helmet,Hunter,634,Void Damage Resistance,1,1,0,2,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Midnight Smith,Hands-On,Pump Action,Enhanced Linear Fusion Targeting,Shotgun Reserves,Machine Gun Reserves,
Bulletsmith's Ire Helm,2921334134,"""6917529085436506832""",,Legendary,Helmet,Titan,650,Void Damage Resistance,1,0,0,3,,Heavy Titan Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Ordnance Mod,Tier 1 Armor,Midnight Smith,Auto Rifle Targeting,Submachine Gun Targeting,Pump Action,Fusion Rifle Reserves,Grenade Launcher Reserves
Wing Contender,3211001969,"""6917529071700999566""",,Legendary,Chest Armor,Hunter,539,Arc Damage Resistance,3,1,1,2,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Crucible Legacy,Unflinching Sniper Aim,Unflinching Kinetic Aim,Submachine Gun Reserves,Special Ammo Finder,,
Dragonfly Regalia Mask,2685109601,"""6917529069276565376""",,Legendary,Helmet,Hunter,10,Arc Damage Resistance,2,2,0,1,,Tier 2 Armor,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Heavy Lifting,Scatter Projectile Targeting,Linear Fusion Rifle Reserves,Special Ammo Finder,,,
Wing Discipline,2124666626,"""6917529090417537160""",favorite,Legendary,Helmet,Titan,670,Void Damage Resistance,2,0,0,3,,Heavy Titan Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Crucible Legacy,Light Reactor,Ashes to Assets,Fusion Rifle Reserves,Linear Fusion Rifle Reserves,,
Vigil of Heroes,2592351697,"""6917529078816659324""",keep,Legendary,Leg Armor,Warlock,580,Solar Damage Resistance,2,0,2,1,,Restorative Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Vanguard Veteran,Bow Dexterity,Dynamo,Auto Rifle Scavenger,Special Ammo Finder,,
Dragonfly Regalia Greaves,2000262854,"""6917529080391216314""",,Legendary,Leg Armor,Titan,10,Void Damage Resistance,1,2,1,0,,Tier 1 Armor,Restorative Titan Armor,Mobility Enhancement Mod,Restorative Mod,Outreach,Dynamo,Auto Rifle Scavenger,Primary Ammo Finder,,,
Outlawed Collector Cloak,3585883633,"""6917529090930903790""",,Legendary,Hunter Cloak,Hunter,672,Void Damage Resistance,1,0,0,0,,Collector +2,Tier 1 Armor,Innervation,Invigoration,Bow Reserves,Grenade Launcher Scavenger,,,,,
Gunsmith's Devotion Crown,1624906371,"""6917529087197966299""",keep,Legendary,Helmet,Warlock,650,Solar Damage Resistance,3,0,1,2,,Heavy Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Midnight Smith,Ashes to Assets,Pump Action,Remote Connection,Rocket Launcher Reserves,Heavy Ammo Finder,
Mask of the Great Hunt,3838639757,"""6917529081218836185""",,Legendary,Helmet,Hunter,600,Void Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Transcendent Blessing,Tier 1 Armor,Ashes to Assets,Heavy Lifting,Hands-On,Rocket Launcher Reserves,Sword Reserves,
Outlawed Collector Robes,4174424193,"""6917529090809814792""",,Legendary,Chest Armor,Warlock,682,Solar Damage Resistance,1,2,1,1,,Collector +2,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Boss Resist,Tier 1 Armor,Unflinching Hand Cannon Aim,Unflinching Pulse Rifle Aim,Bow Reserves,Special Ammo Finder,
Ancient Apocalypse Mask,629787707,"""6917529092040132184""",,Legendary,Helmet,Hunter,684,Void Damage Resistance,2,1,0,2,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Gambit Leather,Shotgun Targeting,Sniper Rifle Targeting,Shotgun Reserves,Sniper Rifle Reserves,,
Thorium Holt Gloves,417345678,"""6917529093136412782""",,Legendary,Gauntlets,Warlock,684,Arc Damage Resistance,2,1,1,1,,Heavy Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Auto Rifle Loader,Shotgun Loader,Sniper Rifle Scavenger,Sword Scavenger,,,
Reverie Dawn Grasps,1705856569,"""6917529093356633911""",keep,Legendary,Gauntlets,Hunter,681,Arc Damage Resistance,1,2,1,0,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Riven's Curse,Tier 1 Armor,Burnished Dreams,Sniper Rifle Loader,Fastball,Enhanced Grenade Launcher Loader,Grenade Launcher Scavenger,Heavy Ammo Finder
Bladesmith's Memory Grips,3992358137,"""6917529086719388563""",keep,Legendary,Gauntlets,Hunter,650,Void Damage Resistance,3,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 3 Armor,Midnight Smith,Large Weapon Loader,Enhanced Shotgun Loader,Machine Gun Loader,Sniper Rifle Scavenger,Heavy Ammo Finder,
Outlawed Collector Robes,4174424193,"""6917529090812571547""",,Legendary,Chest Armor,Warlock,660,Void Damage Resistance,2,0,2,2,,Collector +2,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Unflinching Shotgun Aim,Unflinching Sniper Aim,Auto Rifle Reserves,Sidearm Reserves,,
Notorious Reaper Bond,373632487,"""6917529091092192292""",keep,Legendary,Warlock Bond,Warlock,678,Solar Damage Resistance,1,0,0,0,,Reaper +3,Tier 1 Armor,Insulation,Invigoration,Better Already,Sniper Rifle Reserves,Scout Rifle Scavenger,,,,
Woven Firesmith Vest,2791841721,"""6917529087463724599""",,Legendary,Chest Armor,Hunter,650,Solar Damage Resistance,3,1,1,2,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,New Age Black Armory,Unflinching Hand Cannon Aim,Unflinching Sidearm Aim,Scout Rifle Reserves,Sidearm Reserves,,
Bladesmith's Memory Strides,2589473259,"""6917529090081797904""",,Legendary,Leg Armor,Hunter,661,Arc Damage Resistance,1,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Midnight Smith,Perpetuation,Outreach,Oversize Weapon Dexterity,Pulse Rifle Scavenger,Scout Rifle Scavenger,
Notorious Sentry Bond,4051618675,"""6917529091423433805""",,Legendary,Warlock Bond,Warlock,682,Arc Damage Resistance,1,0,0,0,,Sentry +3,Tier 1 Armor,Insulation,Invigoration,Better Already,Rocket Launcher Reserves,Auto Rifle Scavenger,,,,
Wing Theorem,3724026171,"""6917529091112269978""",,Legendary,Helmet,Warlock,696,Void Damage Resistance,1,0,2,1,,Restorative Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Legacy,Pump Action,Remote Connection,Linear Fusion Rifle Reserves,Special Ammo Finder,,
Reverie Dawn Gloves,2761343386,"""6917529086845290940""",,Legendary,Gauntlets,Warlock,626,Void Damage Resistance,2,2,1,0,,Mobile Warlock Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Riven's Curse,Tier 2 Armor,Burnished Dreams,Sniper Rifle Loader,Fastball,Power Weapon Loader,Sniper Rifle Scavenger,Special Ammo Finder
Wing Theorem,3724026171,"""6917529090847274483""",,Legendary,Helmet,Warlock,688,Arc Damage Resistance,4,1,1,1,,Mobile Warlock Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 4 Armor,Crucible Legacy,Fusion Rifle Targeting,Hands-On,Rocket Launcher Reserves,Special Ammo Finder,,
Scorned Baron Vest,1928007477,"""6917529072051863490""",keep,Legendary,Chest Armor,Hunter,516,Void Damage Resistance,1,2,1,2,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Recovery Mod,Tier 1 Armor,Unflinching Light Arms Aim,Primary Ammo Finder,,,,
